"","ID","task","profile","Affiliation.of.the.terrorist","Legal.status.of.the.terrorist","Terrorist.tactic","Motivation.for.the.terrorist.attack","Number.of.deaths","Probability.of.the.attack","selected","progress","finished","durationinseconds"
"13747",1375,4,2,"Member of a terror cell - operating within an organized group","Immigrant","Stabbing","Right-wing extremism","1","0.1%",0,100,1,256
"13748",1375,4,1,"Member of a terror cell - operating within an organized group","Immigrant","Stabbing","Jihadism","10","1%",1,100,1,256
"13749",1375,3,2,"Member of a terror cell - operating within an organized group","Citizen","Shooting","Jihadism","100","0.1%",1,100,1,256
"13750",1375,3,1,"Lone actor - operating alone","Citizen","Suicidal bombing","Jihadism","10","10%",0,100,1,256
"13751",1376,1,1,"Lone actor - operating alone","Immigrant","Shooting","Right-wing extremism","1","0.1%",0,100,1,89
"13752",1376,4,1,"Member of a terror cell - operating within an organized group","Immigrant","Stabbing","Jihadism","1","0.1%",0,100,1,89
"13753",1376,1,2,"Lone actor - operating alone","Immigrant","Stabbing","Right-wing extremism","10","0.1%",1,100,1,89
"13754",1376,5,2,"Lone actor - operating alone","Citizen","Non-suicidal bombing","Right-wing extremism","1","1%",0,100,1,89
"13755",1376,3,1,"Member of a terror cell - operating within an organized group","Citizen","Suicidal bombing","Right-wing extremism","100","10%",1,100,1,89
"13756",1376,5,1,"Member of a terror cell - operating within an organized group","Immigrant","Non-suicidal bombing","Right-wing extremism","100","10%",1,100,1,89
"13757",1376,2,1,"Member of a terror cell - operating within an organized group","Citizen","Suicidal bombing","Right-wing extremism","10","0.1%",1,100,1,89
"13758",1376,3,2,"Lone actor - operating alone","Citizen","Shooting","Right-wing extremism","10","0.1%",0,100,1,89
"13759",1376,2,2,"Member of a terror cell - operating within an organized group","Immigrant","Stabbing","Right-wing extremism","1","0.1%",0,100,1,89
"13760",1376,4,2,"Lone actor - operating alone","Citizen","Shooting","Right-wing extremism","10","0.1%",1,100,1,89
"13761",1377,1,2,"Member of a terror cell - operating within an organized group","Citizen","Suicidal bombing","Right-wing extremism","1","0.1%",0,100,1,151
"13762",1377,3,1,"Lone actor - operating alone","Citizen","Shooting","Right-wing extremism","1","0.1%",0,100,1,151
"13763",1377,1,1,"Member of a terror cell - operating within an organized group","Citizen","Vehicle-ramming attack","Jihadism","10","1%",1,100,1,151
"13764",1377,4,2,"Lone actor - operating alone","Immigrant","Vehicle-ramming attack","Jihadism","10","1%",0,100,1,151
"13765",1377,5,2,"Lone actor - operating alone","Citizen","Non-suicidal bombing","Jihadism","100","10%",1,100,1,151
"13766",1377,2,1,"Lone actor - operating alone","Citizen","Stabbing","Jihadism","10","10%",1,100,1,151
"13767",1377,3,2,"Lone actor - operating alone","Citizen","Vehicle-ramming attack","Right-wing extremism","1","10%",1,100,1,151
"13768",1377,4,1,"Lone actor - operating alone","Citizen","Non-suicidal bombing","Right-wing extremism","100","10%",1,100,1,151
"13769",1377,5,1,"Lone actor - operating alone","Immigrant","Stabbing","Right-wing extremism","10","1%",0,100,1,151
"13770",1377,2,2,"Lone actor - operating alone","Citizen","Suicidal bombing","Right-wing extremism","10","0.1%",0,100,1,151
"13771",1378,5,1,"Member of a terror cell - operating within an organized group","Immigrant","Vehicle-ramming attack","Jihadism","10","1%",0,100,1,446
"13772",1378,3,1,"Lone actor - operating alone","Immigrant","Suicidal bombing","Jihadism","10","0.1%",0,100,1,446
"13773",1378,5,2,"Member of a terror cell - operating within an organized group","Citizen","Suicidal bombing","Right-wing extremism","10","10%",1,100,1,446
"13774",1378,2,2,"Lone actor - operating alone","Citizen","Stabbing","Right-wing extremism","1","10%",1,100,1,446
"13775",1378,1,1,"Member of a terror cell - operating within an organized group","Citizen","Vehicle-ramming attack","Right-wing extremism","1","0.1%",1,100,1,446
"13776",1378,3,2,"Lone actor - operating alone","Immigrant","Shooting","Jihadism","10","10%",1,100,1,446
"13777",1378,2,1,"Lone actor - operating alone","Citizen","Vehicle-ramming attack","Right-wing extremism","1","0.1%",0,100,1,446
"13778",1378,4,1,"Member of a terror cell - operating within an organized group","Immigrant","Shooting","Right-wing extremism","1","10%",1,100,1,446
"13779",1378,4,2,"Member of a terror cell - operating within an organized group","Immigrant","Vehicle-ramming attack","Jihadism","1","1%",0,100,1,446
"13780",1378,1,2,"Member of a terror cell - operating within an organized group","Immigrant","Vehicle-ramming attack","Jihadism","1","0.1%",0,100,1,446
"13781",1379,4,2,"Member of a terror cell - operating within an organized group","Citizen","Non-suicidal bombing","Right-wing extremism","10","10%",NA,24,0,44
"13782",1379,4,1,"Member of a terror cell - operating within an organized group","Immigrant","Suicidal bombing","Right-wing extremism","10","10%",NA,24,0,44
"13783",1379,3,2,"Lone actor - operating alone","Citizen","Vehicle-ramming attack","Jihadism","10","10%",NA,24,0,44
"13784",1379,1,1,"Member of a terror cell - operating within an organized group","Citizen","Non-suicidal bombing","Jihadism","10","0.1%",NA,24,0,44
"13785",1379,2,1,"Member of a terror cell - operating within an organized group","Immigrant","Stabbing","Right-wing extremism","1","10%",NA,24,0,44
"13786",1379,5,2,"Member of a terror cell - operating within an organized group","Citizen","Stabbing","Right-wing extremism","10","10%",NA,24,0,44
"13787",1379,1,2,"Member of a terror cell - operating within an organized group","Citizen","Vehicle-ramming attack","Right-wing extremism","100","10%",NA,24,0,44
"13788",1379,2,2,"Member of a terror cell - operating within an organized group","Immigrant","Vehicle-ramming attack","Right-wing extremism","100","1%",NA,24,0,44
"13789",1379,5,1,"Lone actor - operating alone","Immigrant","Suicidal bombing","Jihadism","1","10%",NA,24,0,44
"13790",1379,3,1,"Member of a terror cell - operating within an organized group","Immigrant","Non-suicidal bombing","Right-wing extremism","100","1%",NA,24,0,44
"13791",1380,1,2,"Lone actor - operating alone","Immigrant","Shooting","Jihadism","1","10%",0,100,1,239
"13792",1380,3,2,"Lone actor - operating alone","Citizen","Non-suicidal bombing","Jihadism","1","0.1%",0,100,1,239
"13793",1380,2,2,"Member of a terror cell - operating within an organized group","Citizen","Vehicle-ramming attack","Right-wing extremism","10","0.1%",1,100,1,239
"13794",1380,2,1,"Lone actor - operating alone","Immigrant","Non-suicidal bombing","Jihadism","1","1%",0,100,1,239
"13795",1380,5,1,"Lone actor - operating alone","Citizen","Stabbing","Right-wing extremism","10","1%",1,100,1,239
"13796",1380,3,1,"Lone actor - operating alone","Immigrant","Vehicle-ramming attack","Jihadism","10","1%",1,100,1,239
"13797",1380,1,1,"Member of a terror cell - operating within an organized group","Citizen","Suicidal bombing","Right-wing extremism","1","1%",1,100,1,239
"13798",1380,5,2,"Lone actor - operating alone","Immigrant","Suicidal bombing","Right-wing extremism","1","0.1%",0,100,1,239
"13799",1380,4,1,"Lone actor - operating alone","Immigrant","Suicidal bombing","Jihadism","1","10%",0,100,1,239
"13800",1380,4,2,"Member of a terror cell - operating within an organized group","Immigrant","Shooting","Jihadism","1","0.1%",1,100,1,239
"13801",1381,1,1,"Lone actor - operating alone","Immigrant","Shooting","Jihadism","10","1%",1,100,1,304
"13802",1381,2,2,"Member of a terror cell - operating within an organized group","Citizen","Vehicle-ramming attack","Jihadism","100","0.1%",1,100,1,304
"13803",1381,3,2,"Lone actor - operating alone","Citizen","Shooting","Right-wing extremism","100","0.1%",0,100,1,304
"13804",1381,5,1,"Member of a terror cell - operating within an organized group","Immigrant","Vehicle-ramming attack","Right-wing extremism","10","10%",1,100,1,304
"13805",1381,2,1,"Lone actor - operating alone","Citizen","Shooting","Right-wing extremism","100","10%",0,100,1,304
"13806",1381,3,1,"Member of a terror cell - operating within an organized group","Immigrant","Vehicle-ramming attack","Right-wing extremism","1","1%",1,100,1,304
"13807",1381,4,1,"Member of a terror cell - operating within an organized group","Immigrant","Shooting","Jihadism","1","1%",0,100,1,304
"13808",1381,1,2,"Lone actor - operating alone","Citizen","Suicidal bombing","Jihadism","1","1%",0,100,1,304
"13809",1381,5,2,"Lone actor - operating alone","Immigrant","Non-suicidal bombing","Jihadism","10","10%",0,100,1,304
"13810",1381,4,2,"Member of a terror cell - operating within an organized group","Immigrant","Shooting","Right-wing extremism","100","1%",1,100,1,304
"13811",1382,1,1,"Lone actor - operating alone","Citizen","Non-suicidal bombing","Jihadism","1","1%",0,100,1,145
"13812",1382,3,1,"Member of a terror cell - operating within an organized group","Citizen","Shooting","Right-wing extremism","1","10%",1,100,1,145
"13813",1382,5,1,"Member of a terror cell - operating within an organized group","Immigrant","Non-suicidal bombing","Right-wing extremism","1","0.1%",0,100,1,145
"13814",1382,4,1,"Member of a terror cell - operating within an organized group","Immigrant","Shooting","Right-wing extremism","100","10%",1,100,1,145
"13815",1382,3,2,"Lone actor - operating alone","Immigrant","Non-suicidal bombing","Right-wing extremism","1","10%",0,100,1,145
"13816",1382,5,2,"Lone actor - operating alone","Citizen","Suicidal bombing","Jihadism","10","10%",1,100,1,145
"13817",1382,1,2,"Lone actor - operating alone","Citizen","Vehicle-ramming attack","Right-wing extremism","10","10%",1,100,1,145
"13818",1382,2,2,"Lone actor - operating alone","Immigrant","Shooting","Right-wing extremism","100","1%",1,100,1,145
"13819",1382,2,1,"Member of a terror cell - operating within an organized group","Citizen","Stabbing","Right-wing extremism","1","10%",0,100,1,145
"13820",1382,4,2,"Lone actor - operating alone","Citizen","Stabbing","Right-wing extremism","1","0.1%",0,100,1,145
"13821",1383,2,1,"Lone actor - operating alone","Citizen","Stabbing","Jihadism","1","1%",0,100,1,168
"13822",1383,4,1,"Lone actor - operating alone","Citizen","Vehicle-ramming attack","Right-wing extremism","100","10%",1,100,1,168
"13823",1383,5,1,"Lone actor - operating alone","Immigrant","Vehicle-ramming attack","Right-wing extremism","1","0.1%",0,100,1,168
"13824",1383,2,2,"Member of a terror cell - operating within an organized group","Citizen","Non-suicidal bombing","Jihadism","10","10%",1,100,1,168
"13825",1383,3,1,"Member of a terror cell - operating within an organized group","Citizen","Vehicle-ramming attack","Right-wing extremism","1","1%",1,100,1,168
"13826",1383,4,2,"Member of a terror cell - operating within an organized group","Citizen","Vehicle-ramming attack","Right-wing extremism","100","1%",0,100,1,168
"13827",1383,1,2,"Member of a terror cell - operating within an organized group","Immigrant","Shooting","Jihadism","10","1%",1,100,1,168
"13828",1383,1,1,"Lone actor - operating alone","Citizen","Suicidal bombing","Right-wing extremism","1","1%",0,100,1,168
"13829",1383,3,2,"Member of a terror cell - operating within an organized group","Citizen","Vehicle-ramming attack","Right-wing extremism","1","1%",0,100,1,168
"13830",1383,5,2,"Lone actor - operating alone","Immigrant","Vehicle-ramming attack","Right-wing extremism","100","0.1%",1,100,1,168
"13831",1384,2,1,"Member of a terror cell - operating within an organized group","Citizen","Suicidal bombing","Jihadism","100","0.1%",1,100,1,287
"13832",1384,3,1,"Lone actor - operating alone","Immigrant","Stabbing","Right-wing extremism","1","0.1%",0,100,1,287
"13833",1384,3,2,"Member of a terror cell - operating within an organized group","Citizen","Shooting","Right-wing extremism","10","1%",1,100,1,287
"13834",1384,4,2,"Member of a terror cell - operating within an organized group","Citizen","Stabbing","Right-wing extremism","10","0.1%",1,100,1,287
"13835",1384,4,1,"Member of a terror cell - operating within an organized group","Immigrant","Vehicle-ramming attack","Right-wing extremism","1","10%",0,100,1,287
"13836",1384,1,2,"Lone actor - operating alone","Citizen","Suicidal bombing","Jihadism","10","10%",1,100,1,287
"13837",1384,5,2,"Member of a terror cell - operating within an organized group","Immigrant","Suicidal bombing","Right-wing extremism","1","1%",0,100,1,287
"13838",1384,2,2,"Member of a terror cell - operating within an organized group","Citizen","Shooting","Right-wing extremism","1","0.1%",0,100,1,287
"13839",1384,1,1,"Member of a terror cell - operating within an organized group","Immigrant","Shooting","Right-wing extremism","1","1%",0,100,1,287
"13840",1384,5,1,"Member of a terror cell - operating within an organized group","Immigrant","Suicidal bombing","Right-wing extremism","10","1%",1,100,1,287
"13841",1385,1,1,"Lone actor - operating alone","Immigrant","Non-suicidal bombing","Jihadism","1","10%",1,100,1,198
"13842",1385,4,2,"Member of a terror cell - operating within an organized group","Immigrant","Stabbing","Jihadism","10","10%",1,100,1,198
"13843",1385,5,1,"Member of a terror cell - operating within an organized group","Citizen","Shooting","Jihadism","1","1%",0,100,1,198
"13844",1385,2,2,"Lone actor - operating alone","Immigrant","Shooting","Jihadism","100","10%",1,100,1,198
"13845",1385,1,2,"Lone actor - operating alone","Immigrant","Suicidal bombing","Right-wing extremism","10","0.1%",0,100,1,198
"13846",1385,3,2,"Member of a terror cell - operating within an organized group","Citizen","Vehicle-ramming attack","Right-wing extremism","1","1%",0,100,1,198
"13847",1385,5,2,"Lone actor - operating alone","Immigrant","Suicidal bombing","Jihadism","10","1%",1,100,1,198
"13848",1385,4,1,"Lone actor - operating alone","Citizen","Suicidal bombing","Right-wing extremism","10","0.1%",0,100,1,198
"13849",1385,2,1,"Lone actor - operating alone","Immigrant","Non-suicidal bombing","Jihadism","1","10%",0,100,1,198
"13850",1385,3,1,"Member of a terror cell - operating within an organized group","Immigrant","Vehicle-ramming attack","Right-wing extremism","100","1%",1,100,1,198
"13851",1386,2,2,"Lone actor - operating alone","Immigrant","Vehicle-ramming attack","Right-wing extremism","10","10%",1,100,1,127
"13852",1386,3,1,"Member of a terror cell - operating within an organized group","Immigrant","Non-suicidal bombing","Right-wing extremism","1","10%",0,100,1,127
"13853",1386,5,1,"Member of a terror cell - operating within an organized group","Immigrant","Suicidal bombing","Right-wing extremism","100","10%",1,100,1,127
"13854",1386,2,1,"Member of a terror cell - operating within an organized group","Immigrant","Shooting","Right-wing extremism","1","1%",0,100,1,127
"13855",1386,1,2,"Lone actor - operating alone","Citizen","Non-suicidal bombing","Right-wing extremism","100","10%",1,100,1,127
"13856",1386,4,2,"Member of a terror cell - operating within an organized group","Citizen","Non-suicidal bombing","Jihadism","1","1%",0,100,1,127
"13857",1386,3,2,"Member of a terror cell - operating within an organized group","Citizen","Stabbing","Jihadism","10","0.1%",1,100,1,127
"13858",1386,5,2,"Member of a terror cell - operating within an organized group","Immigrant","Vehicle-ramming attack","Right-wing extremism","100","0.1%",0,100,1,127
"13859",1386,4,1,"Lone actor - operating alone","Citizen","Suicidal bombing","Right-wing extremism","10","10%",1,100,1,127
"13860",1386,1,1,"Member of a terror cell - operating within an organized group","Citizen","Shooting","Right-wing extremism","10","0.1%",0,100,1,127
"13861",1387,1,1,"Member of a terror cell - operating within an organized group","Immigrant","Non-suicidal bombing","Jihadism","10","0.1%",0,100,1,260
"13862",1387,3,1,"Member of a terror cell - operating within an organized group","Citizen","Suicidal bombing","Jihadism","100","1%",1,100,1,260
"13863",1387,5,1,"Member of a terror cell - operating within an organized group","Immigrant","Vehicle-ramming attack","Right-wing extremism","100","10%",0,100,1,260
"13864",1387,3,2,"Member of a terror cell - operating within an organized group","Immigrant","Vehicle-ramming attack","Jihadism","100","0.1%",0,100,1,260
"13865",1387,4,2,"Lone actor - operating alone","Immigrant","Non-suicidal bombing","Right-wing extremism","100","1%",1,100,1,260
"13866",1387,2,1,"Member of a terror cell - operating within an organized group","Citizen","Non-suicidal bombing","Jihadism","10","10%",1,100,1,260
"13867",1387,5,2,"Member of a terror cell - operating within an organized group","Immigrant","Non-suicidal bombing","Right-wing extremism","100","10%",1,100,1,260
"13868",1387,1,2,"Member of a terror cell - operating within an organized group","Citizen","Shooting","Jihadism","1","10%",1,100,1,260
"13869",1387,4,1,"Lone actor - operating alone","Immigrant","Shooting","Right-wing extremism","100","0.1%",0,100,1,260
"13870",1387,2,2,"Member of a terror cell - operating within an organized group","Citizen","Stabbing","Jihadism","10","1%",0,100,1,260
"13871",1388,4,2,"Lone actor - operating alone","Immigrant","Suicidal bombing","Jihadism","10","10%",1,100,1,69
"13872",1388,4,1,"Member of a terror cell - operating within an organized group","Immigrant","Vehicle-ramming attack","Right-wing extremism","1","10%",0,100,1,69
"13873",1388,5,2,"Member of a terror cell - operating within an organized group","Immigrant","Suicidal bombing","Jihadism","10","10%",1,100,1,69
"13874",1388,3,1,"Lone actor - operating alone","Citizen","Stabbing","Jihadism","10","10%",0,100,1,69
"13875",1388,5,1,"Lone actor - operating alone","Immigrant","Non-suicidal bombing","Jihadism","100","0.1%",0,100,1,69
"13876",1388,2,1,"Member of a terror cell - operating within an organized group","Citizen","Shooting","Jihadism","10","1%",0,100,1,69
"13877",1388,1,2,"Lone actor - operating alone","Immigrant","Stabbing","Right-wing extremism","10","1%",1,100,1,69
"13878",1388,3,2,"Lone actor - operating alone","Citizen","Shooting","Right-wing extremism","10","1%",1,100,1,69
"13879",1388,2,2,"Member of a terror cell - operating within an organized group","Citizen","Vehicle-ramming attack","Jihadism","10","0.1%",1,100,1,69
"13880",1388,1,1,"Member of a terror cell - operating within an organized group","Citizen","Vehicle-ramming attack","Right-wing extremism","1","10%",0,100,1,69
"13881",1389,2,1,"Member of a terror cell - operating within an organized group","Immigrant","Vehicle-ramming attack","Jihadism","100","0.1%",1,100,1,119
"13882",1389,3,1,"Member of a terror cell - operating within an organized group","Citizen","Shooting","Right-wing extremism","10","0.1%",1,100,1,119
"13883",1389,3,2,"Member of a terror cell - operating within an organized group","Immigrant","Stabbing","Right-wing extremism","1","10%",0,100,1,119
"13884",1389,1,2,"Member of a terror cell - operating within an organized group","Citizen","Shooting","Jihadism","1","1%",0,100,1,119
"13885",1389,4,2,"Lone actor - operating alone","Citizen","Vehicle-ramming attack","Jihadism","100","1%",1,100,1,119
"13886",1389,1,1,"Member of a terror cell - operating within an organized group","Citizen","Vehicle-ramming attack","Right-wing extremism","100","10%",1,100,1,119
"13887",1389,5,1,"Lone actor - operating alone","Citizen","Non-suicidal bombing","Jihadism","10","10%",1,100,1,119
"13888",1389,2,2,"Lone actor - operating alone","Immigrant","Vehicle-ramming attack","Right-wing extremism","1","10%",0,100,1,119
"13889",1389,4,1,"Lone actor - operating alone","Immigrant","Stabbing","Jihadism","10","10%",0,100,1,119
"13890",1389,5,2,"Member of a terror cell - operating within an organized group","Citizen","Non-suicidal bombing","Right-wing extremism","1","0.1%",0,100,1,119
"13891",1390,4,1,"Member of a terror cell - operating within an organized group","Citizen","Stabbing","Right-wing extremism","1","0.1%",NA,43,0,42
"13892",1390,2,1,"Lone actor - operating alone","Immigrant","Non-suicidal bombing","Jihadism","10","1%",1,43,0,42
"13893",1390,3,1,"Member of a terror cell - operating within an organized group","Immigrant","Non-suicidal bombing","Right-wing extremism","10","1%",NA,43,0,42
"13894",1390,1,1,"Member of a terror cell - operating within an organized group","Immigrant","Suicidal bombing","Jihadism","10","1%",1,43,0,42
"13895",1390,5,2,"Lone actor - operating alone","Citizen","Suicidal bombing","Jihadism","1","10%",NA,43,0,42
"13896",1390,3,2,"Lone actor - operating alone","Citizen","Suicidal bombing","Right-wing extremism","1","0.1%",NA,43,0,42
"13897",1390,2,2,"Lone actor - operating alone","Citizen","Shooting","Right-wing extremism","100","1%",0,43,0,42
"13898",1390,4,2,"Member of a terror cell - operating within an organized group","Citizen","Vehicle-ramming attack","Jihadism","100","1%",NA,43,0,42
"13899",1390,5,1,"Lone actor - operating alone","Citizen","Vehicle-ramming attack","Jihadism","1","0.1%",NA,43,0,42
"13900",1390,1,2,"Lone actor - operating alone","Citizen","Non-suicidal bombing","Right-wing extremism","1","0.1%",0,43,0,42
"13901",1391,5,1,"Member of a terror cell - operating within an organized group","Citizen","Suicidal bombing","Right-wing extremism","100","0.1%",0,100,1,104
"13902",1391,1,2,"Member of a terror cell - operating within an organized group","Immigrant","Vehicle-ramming attack","Jihadism","1","10%",1,100,1,104
"13903",1391,4,2,"Member of a terror cell - operating within an organized group","Immigrant","Stabbing","Right-wing extremism","10","10%",0,100,1,104
"13904",1391,5,2,"Lone actor - operating alone","Immigrant","Suicidal bombing","Jihadism","1","10%",1,100,1,104
"13905",1391,2,1,"Member of a terror cell - operating within an organized group","Citizen","Shooting","Jihadism","100","10%",1,100,1,104
"13906",1391,4,1,"Member of a terror cell - operating within an organized group","Citizen","Non-suicidal bombing","Jihadism","100","10%",1,100,1,104
"13907",1391,3,2,"Member of a terror cell - operating within an organized group","Citizen","Non-suicidal bombing","Jihadism","100","10%",1,100,1,104
"13908",1391,1,1,"Member of a terror cell - operating within an organized group","Citizen","Non-suicidal bombing","Jihadism","100","1%",0,100,1,104
"13909",1391,2,2,"Lone actor - operating alone","Immigrant","Non-suicidal bombing","Right-wing extremism","10","0.1%",0,100,1,104
"13910",1391,3,1,"Lone actor - operating alone","Citizen","Shooting","Right-wing extremism","10","0.1%",0,100,1,104
"13911",1392,2,2,"Lone actor - operating alone","Citizen","Vehicle-ramming attack","Jihadism","100","1%",1,100,1,415
"13912",1392,4,1,"Member of a terror cell - operating within an organized group","Citizen","Non-suicidal bombing","Jihadism","10","10%",1,100,1,415
"13913",1392,3,1,"Lone actor - operating alone","Citizen","Non-suicidal bombing","Jihadism","10","0.1%",1,100,1,415
"13914",1392,5,1,"Lone actor - operating alone","Citizen","Suicidal bombing","Right-wing extremism","100","1%",0,100,1,415
"13915",1392,3,2,"Lone actor - operating alone","Citizen","Shooting","Right-wing extremism","100","1%",0,100,1,415
"13916",1392,4,2,"Lone actor - operating alone","Citizen","Suicidal bombing","Right-wing extremism","10","1%",0,100,1,415
"13917",1392,1,2,"Lone actor - operating alone","Citizen","Stabbing","Right-wing extremism","1","1%",0,100,1,415
"13918",1392,2,1,"Lone actor - operating alone","Citizen","Shooting","Right-wing extremism","10","1%",0,100,1,415
"13919",1392,1,1,"Member of a terror cell - operating within an organized group","Citizen","Suicidal bombing","Jihadism","1","10%",1,100,1,415
"13920",1392,5,2,"Lone actor - operating alone","Immigrant","Suicidal bombing","Jihadism","1","10%",1,100,1,415
"13921",1393,3,2,"Lone actor - operating alone","Immigrant","Non-suicidal bombing","Right-wing extremism","10","10%",1,100,1,621
"13922",1393,2,2,"Lone actor - operating alone","Immigrant","Shooting","Jihadism","10","10%",0,100,1,621
"13923",1393,1,2,"Lone actor - operating alone","Citizen","Shooting","Jihadism","100","10%",1,100,1,621
"13924",1393,1,1,"Lone actor - operating alone","Immigrant","Suicidal bombing","Jihadism","100","1%",0,100,1,621
"13925",1393,4,2,"Member of a terror cell - operating within an organized group","Citizen","Stabbing","Right-wing extremism","10","1%",1,100,1,621
"13926",1393,5,2,"Member of a terror cell - operating within an organized group","Citizen","Stabbing","Right-wing extremism","1","0.1%",0,100,1,621
"13927",1393,5,1,"Member of a terror cell - operating within an organized group","Immigrant","Shooting","Right-wing extremism","1","10%",1,100,1,621
"13928",1393,3,1,"Member of a terror cell - operating within an organized group","Immigrant","Shooting","Jihadism","1","1%",0,100,1,621
"13929",1393,2,1,"Lone actor - operating alone","Immigrant","Shooting","Jihadism","100","10%",1,100,1,621
"13930",1393,4,1,"Lone actor - operating alone","Citizen","Suicidal bombing","Right-wing extremism","1","0.1%",0,100,1,621
"13931",1394,1,2,"Lone actor - operating alone","Immigrant","Stabbing","Jihadism","10","0.1%",0,100,1,292
"13932",1394,1,1,"Member of a terror cell - operating within an organized group","Citizen","Vehicle-ramming attack","Right-wing extremism","10","0.1%",1,100,1,292
"13933",1394,3,1,"Member of a terror cell - operating within an organized group","Citizen","Vehicle-ramming attack","Right-wing extremism","1","0.1%",1,100,1,292
"13934",1394,3,2,"Lone actor - operating alone","Immigrant","Suicidal bombing","Jihadism","1","1%",0,100,1,292
"13935",1394,2,2,"Member of a terror cell - operating within an organized group","Immigrant","Non-suicidal bombing","Right-wing extremism","1","0.1%",1,100,1,292
"13936",1394,5,1,"Member of a terror cell - operating within an organized group","Citizen","Non-suicidal bombing","Jihadism","10","1%",0,100,1,292
"13937",1394,2,1,"Lone actor - operating alone","Immigrant","Shooting","Jihadism","10","1%",0,100,1,292
"13938",1394,4,1,"Member of a terror cell - operating within an organized group","Immigrant","Suicidal bombing","Jihadism","1","0.1%",0,100,1,292
"13939",1394,5,2,"Lone actor - operating alone","Citizen","Shooting","Jihadism","100","1%",1,100,1,292
"13940",1394,4,2,"Member of a terror cell - operating within an organized group","Citizen","Suicidal bombing","Jihadism","100","10%",1,100,1,292
"13941",1395,3,2,"Lone actor - operating alone","Immigrant","Shooting","Jihadism","100","1%",0,100,1,295
"13942",1395,1,2,"Lone actor - operating alone","Citizen","Non-suicidal bombing","Jihadism","10","0.1%",0,100,1,295
"13943",1395,4,1,"Lone actor - operating alone","Immigrant","Suicidal bombing","Right-wing extremism","10","1%",1,100,1,295
"13944",1395,5,1,"Lone actor - operating alone","Immigrant","Shooting","Right-wing extremism","100","1%",1,100,1,295
"13945",1395,1,1,"Member of a terror cell - operating within an organized group","Immigrant","Non-suicidal bombing","Jihadism","10","1%",1,100,1,295
"13946",1395,4,2,"Lone actor - operating alone","Immigrant","Stabbing","Jihadism","10","10%",0,100,1,295
"13947",1395,5,2,"Member of a terror cell - operating within an organized group","Citizen","Non-suicidal bombing","Right-wing extremism","10","10%",0,100,1,295
"13948",1395,3,1,"Member of a terror cell - operating within an organized group","Immigrant","Stabbing","Jihadism","1","0.1%",1,100,1,295
"13949",1395,2,2,"Lone actor - operating alone","Immigrant","Suicidal bombing","Right-wing extremism","1","10%",1,100,1,295
"13950",1395,2,1,"Lone actor - operating alone","Immigrant","Non-suicidal bombing","Jihadism","1","10%",0,100,1,295
"13951",1396,3,2,"Lone actor - operating alone","Immigrant","Shooting","Jihadism","10","10%",1,100,1,164
"13952",1396,4,1,"Lone actor - operating alone","Immigrant","Shooting","Jihadism","10","0.1%",0,100,1,164
"13953",1396,4,2,"Lone actor - operating alone","Citizen","Shooting","Jihadism","100","10%",1,100,1,164
"13954",1396,5,1,"Member of a terror cell - operating within an organized group","Citizen","Non-suicidal bombing","Jihadism","10","1%",1,100,1,164
"13955",1396,2,2,"Member of a terror cell - operating within an organized group","Citizen","Non-suicidal bombing","Right-wing extremism","100","1%",1,100,1,164
"13956",1396,5,2,"Member of a terror cell - operating within an organized group","Immigrant","Stabbing","Jihadism","1","1%",0,100,1,164
"13957",1396,2,1,"Lone actor - operating alone","Citizen","Non-suicidal bombing","Right-wing extremism","1","0.1%",0,100,1,164
"13958",1396,1,1,"Lone actor - operating alone","Citizen","Suicidal bombing","Jihadism","10","1%",1,100,1,164
"13959",1396,3,1,"Lone actor - operating alone","Immigrant","Suicidal bombing","Right-wing extremism","10","10%",0,100,1,164
"13960",1396,1,2,"Member of a terror cell - operating within an organized group","Immigrant","Stabbing","Jihadism","10","1%",0,100,1,164
"13961",1397,2,2,"Lone actor - operating alone","Citizen","Shooting","Jihadism","1","1%",0,100,1,134
"13962",1397,1,2,"Member of a terror cell - operating within an organized group","Citizen","Non-suicidal bombing","Right-wing extremism","100","1%",1,100,1,134
"13963",1397,3,1,"Lone actor - operating alone","Immigrant","Shooting","Jihadism","10","1%",0,100,1,134
"13964",1397,5,1,"Member of a terror cell - operating within an organized group","Citizen","Shooting","Right-wing extremism","100","10%",1,100,1,134
"13965",1397,4,2,"Member of a terror cell - operating within an organized group","Citizen","Suicidal bombing","Right-wing extremism","1","10%",1,100,1,134
"13966",1397,2,1,"Lone actor - operating alone","Citizen","Suicidal bombing","Right-wing extremism","10","10%",1,100,1,134
"13967",1397,4,1,"Member of a terror cell - operating within an organized group","Immigrant","Suicidal bombing","Right-wing extremism","10","1%",0,100,1,134
"13968",1397,1,1,"Member of a terror cell - operating within an organized group","Immigrant","Non-suicidal bombing","Right-wing extremism","1","1%",0,100,1,134
"13969",1397,3,2,"Lone actor - operating alone","Citizen","Non-suicidal bombing","Right-wing extremism","10","10%",1,100,1,134
"13970",1397,5,2,"Lone actor - operating alone","Immigrant","Suicidal bombing","Jihadism","10","10%",0,100,1,134
"13971",1398,2,1,"Member of a terror cell - operating within an organized group","Immigrant","Shooting","Right-wing extremism","100","1%",1,100,1,150
"13972",1398,4,1,"Member of a terror cell - operating within an organized group","Citizen","Shooting","Jihadism","10","1%",1,100,1,150
