"","ID","task","profile","Affiliation.of.the.terrorist","Legal.status.of.the.terrorist","Terrorist.tactic","Motivation.for.the.terrorist.attack","Number.of.deaths","Probability.of.the.attack","selected","progress","finished","durationinseconds"
"173",18,1,1,"Member of a terror cell - operating within an organized group","Immigrant","Stabbing","Jihadism","1","10%",0,100,1,94
"174",18,5,1,"Member of a terror cell - operating within an organized group","Citizen","Suicidal bombing","Jihadism","100","0.1%",0,100,1,94
"175",18,4,1,"Member of a terror cell - operating within an organized group","Immigrant","Suicidal bombing","Jihadism","100","1%",1,100,1,94
"176",18,4,2,"Member of a terror cell - operating within an organized group","Immigrant","Stabbing","Right-wing extremism","1","0.1%",0,100,1,94
"177",18,2,2,"Lone actor - operating alone","Immigrant","Shooting","Right-wing extremism","1","0.1%",0,100,1,94
"178",18,1,2,"Lone actor - operating alone","Citizen","Vehicle-ramming attack","Right-wing extremism","10","1%",1,100,1,94
"179",18,3,2,"Lone actor - operating alone","Citizen","Suicidal bombing","Jihadism","100","10%",1,100,1,94
"180",18,2,1,"Member of a terror cell - operating within an organized group","Citizen","Non-suicidal bombing","Jihadism","10","10%",1,100,1,94
"181",19,2,1,"Member of a terror cell - operating within an organized group","Immigrant","Vehicle-ramming attack","Right-wing extremism","100","1%",1,100,1,236
"182",19,1,1,"Lone actor - operating alone","Citizen","Non-suicidal bombing","Jihadism","10","10%",0,100,1,236
"183",19,3,2,"Member of a terror cell - operating within an organized group","Immigrant","Vehicle-ramming attack","Jihadism","1","1%",0,100,1,236
"184",19,4,2,"Member of a terror cell - operating within an organized group","Citizen","Vehicle-ramming attack","Jihadism","10","1%",1,100,1,236
"185",19,2,2,"Lone actor - operating alone","Immigrant","Suicidal bombing","Right-wing extremism","1","0.1%",0,100,1,236
"186",19,4,1,"Member of a terror cell - operating within an organized group","Immigrant","Stabbing","Right-wing extremism","10","0.1%",0,100,1,236
"187",19,5,2,"Lone actor - operating alone","Citizen","Non-suicidal bombing","Jihadism","1","0.1%",0,100,1,236
"188",19,5,1,"Lone actor - operating alone","Immigrant","Shooting","Right-wing extremism","100","0.1%",1,100,1,236
"189",19,1,2,"Member of a terror cell - operating within an organized group","Immigrant","Vehicle-ramming attack","Jihadism","100","0.1%",1,100,1,236
"190",19,3,1,"Member of a terror cell - operating within an organized group","Citizen","Non-suicidal bombing","Right-wing extremism","10","1%",1,100,1,236
"191",20,3,2,"Lone actor - operating alone","Citizen","Shooting","Right-wing extremism","10","10%",0,100,1,152
"192",20,5,1,"Lone actor - operating alone","Citizen","Vehicle-ramming attack","Right-wing extremism","100","1%",1,100,1,152
"193",20,4,2,"Member of a terror cell - operating within an organized group","Immigrant","Shooting","Jihadism","10","1%",0,100,1,152
"194",20,1,2,"Member of a terror cell - operating within an organized group","Immigrant","Shooting","Right-wing extremism","1","10%",0,100,1,152
"195",20,5,2,"Lone actor - operating alone","Immigrant","Shooting","Right-wing extremism","10","10%",0,100,1,152
"196",20,4,1,"Member of a terror cell - operating within an organized group","Citizen","Shooting","Right-wing extremism","100","0.1%",1,100,1,152
"197",20,2,1,"Member of a terror cell - operating within an organized group","Immigrant","Shooting","Right-wing extremism","100","10%",1,100,1,152
"198",20,2,2,"Lone actor - operating alone","Immigrant","Non-suicidal bombing","Jihadism","100","0.1%",0,100,1,152
"199",20,1,1,"Lone actor - operating alone","Citizen","Suicidal bombing","Jihadism","100","1%",1,100,1,152
"200",20,3,1,"Member of a terror cell - operating within an organized group","Immigrant","Suicidal bombing","Jihadism","100","0.1%",1,100,1,152
"201",21,2,1,"Member of a terror cell - operating within an organized group","Immigrant","Shooting","Jihadism","10","10%",0,100,1,114
"202",21,4,1,"Member of a terror cell - operating within an organized group","Citizen","Shooting","Jihadism","1","0.1%",0,100,1,114
"203",21,1,2,"Lone actor - operating alone","Citizen","Non-suicidal bombing","Right-wing extremism","1","0.1%",0,100,1,114
"204",21,2,2,"Lone actor - operating alone","Immigrant","Non-suicidal bombing","Right-wing extremism","100","0.1%",1,100,1,114
"205",21,3,1,"Lone actor - operating alone","Immigrant","Stabbing","Jihadism","10","0.1%",0,100,1,114
"206",21,1,1,"Member of a terror cell - operating within an organized group","Immigrant","Non-suicidal bombing","Right-wing extremism","100","1%",1,100,1,114
"207",21,4,2,"Lone actor - operating alone","Immigrant","Vehicle-ramming attack","Jihadism","100","1%",1,100,1,114
"208",21,5,1,"Lone actor - operating alone","Immigrant","Non-suicidal bombing","Jihadism","100","10%",1,100,1,114
"209",21,3,2,"Lone actor - operating alone","Immigrant","Suicidal bombing","Right-wing extremism","10","0.1%",1,100,1,114
"210",21,5,2,"Lone actor - operating alone","Immigrant","Shooting","Right-wing extremism","1","1%",0,100,1,114
"211",22,5,2,"Member of a terror cell - operating within an organized group","Citizen","Suicidal bombing","Jihadism","10","0.1%",1,100,1,287
"212",22,2,1,"Lone actor - operating alone","Citizen","Suicidal bombing","Right-wing extremism","100","10%",1,100,1,287
"213",22,2,2,"Member of a terror cell - operating within an organized group","Citizen","Suicidal bombing","Jihadism","10","1%",0,100,1,287
"214",22,1,1,"Member of a terror cell - operating within an organized group","Citizen","Shooting","Right-wing extremism","10","1%",0,100,1,287
"215",22,1,2,"Lone actor - operating alone","Immigrant","Vehicle-ramming attack","Jihadism","100","10%",1,100,1,287
"216",22,3,2,"Lone actor - operating alone","Citizen","Shooting","Right-wing extremism","1","10%",0,100,1,287
"217",22,4,2,"Lone actor - operating alone","Citizen","Non-suicidal bombing","Right-wing extremism","100","1%",1,100,1,287
"218",22,4,1,"Member of a terror cell - operating within an organized group","Citizen","Non-suicidal bombing","Right-wing extremism","1","0.1%",0,100,1,287
"219",22,3,1,"Lone actor - operating alone","Immigrant","Shooting","Right-wing extremism","10","0.1%",1,100,1,287
"220",22,5,1,"Member of a terror cell - operating within an organized group","Immigrant","Shooting","Jihadism","10","0.1%",0,100,1,287
"221",23,2,2,"Lone actor - operating alone","Citizen","Shooting","Jihadism","10","10%",NA,24,0,17
"222",23,5,2,"Lone actor - operating alone","Citizen","Suicidal bombing","Right-wing extremism","1","10%",NA,24,0,17
"223",23,1,1,"Lone actor - operating alone","Immigrant","Vehicle-ramming attack","Right-wing extremism","100","1%",NA,24,0,17
"224",23,2,1,"Member of a terror cell - operating within an organized group","Citizen","Vehicle-ramming attack","Right-wing extremism","1","10%",NA,24,0,17
"225",23,4,2,"Lone actor - operating alone","Immigrant","Shooting","Right-wing extremism","1","1%",NA,24,0,17
"226",23,3,2,"Member of a terror cell - operating within an organized group","Immigrant","Non-suicidal bombing","Right-wing extremism","100","10%",NA,24,0,17
"227",23,5,1,"Lone actor - operating alone","Citizen","Suicidal bombing","Right-wing extremism","1","0.1%",NA,24,0,17
"228",23,1,2,"Lone actor - operating alone","Citizen","Non-suicidal bombing","Right-wing extremism","100","1%",NA,24,0,17
"229",23,3,1,"Lone actor - operating alone","Immigrant","Suicidal bombing","Jihadism","1","10%",NA,24,0,17
