treatment,treatment_binary,fire_judges,disobey_justice_2,overthrow_institutions,power_institutions,anti_democratic_index,strong_leader,check_corruption,angry,scared,optimistic,nervous,male,age,socioeconomic_level,political_interest,pres_approval,region,morena,nonpartisan,otherpartisan
Trash-talking,1,1,2,2,1,1.5,2,6,3,2,2,4,1,40,5,3,1,3,0,0,1
Control,0,4,4,3,5,4,4,5,2,2,3,3,0,49,5,3,4,6,1,0,0
Trash-talking,1,2,3,3,1,2.25,2,10,4,4,2,2,0,44,5,2,1,1,0,0,0
Control,0,5,1,5,5,4,3,10,2,3,3,3,1,18,3,2,4,3,1,0,0
Control,0,2,4,2,1,2.25,2,10,4,2,3,4,1,39,1,2,2,2,0,1,0
Trash-talking,1,1,1,4,2,2,2,8,1,1,4,1,0,37,1,3,3,6,1,0,0
Trash-talking,1,4,2,5,4,3.75,4,8,5,3,1,5,1,36,5,4,3,6,1,0,0
Trash-talking,1,2,4,5,3,3.5,5,10,5,1,1,2,0,29,2,3,4,1,0,1,0
Trash-talking,1,3,3,4,3,3.25,4,9,4,3,3,3,1,45,5,2,3,5,0,1,0
Trash-talking,1,1,2,2,3,2,3,5,3,3,3,3,1,23,2,2,5,4,1,0,0
Control,0,2,2,4,3,2.75,3,1,2,1,4,1,1,22,3,1,5,4,1,0,0
Trash-talking,1,4,4,5,2,3.75,3,10,4,4,1,2,0,36,5,3,3,4,0,1,0
Trash-talking,1,1,4,2,1,2,2,8,3,5,1,5,0,20,2,3,1,4,0,1,0
Control,0,2,2,4,2,2.5,2,9,2,1,1,1,0,41,6,2,2,4,0,0,1
Trash-talking,1,5,3,3,3,3.5,5,10,5,3,1,2,1,18,2,3,4,3,1,0,0
Control,0,3,3,5,3,3.5,2,2,2,2,2,3,1,37,6,1,5,6,1,0,0
Control,0,1,1,3,1,1.5,3,10,5,3,3,3,0,48,5,1,1,3,0,0,1
Trash-talking,1,1,2,4,1,2,2,7,2,2,3,2,1,56,1,3,1,3,0,0,1
Trash-talking,1,5,4,4,5,4.5,4,6,4,1,3,1,0,43,5,2,5,5,1,0,0
Control,0,3,3,3,3,3,4,5,3,3,3,3,1,23,3,2,3,3,1,0,0
Trash-talking,1,3,4,3,3,3.25,3,10,1,3,4,2,0,18,3,3,5,1,1,0,0
Trash-talking,1,2,2,2,2,2,3,5,2,2,4,2,0,38,5,3,4,4,1,0,0
Control,0,5,4,3,4,4,4,6,1,1,4,1,1,35,3,1,5,2,1,0,0
Control,0,2,2,5,4,3.25,4,8,2,1,4,3,1,27,1,4,4,4,1,0,0
Trash-talking,1,3,3,4,2,3,3,5,1,3,4,1,1,41,5,3,5,6,1,0,0
Control,0,2,3,2,5,3,4,9,2,1,3,2,1,63,5,3,5,5,1,0,0
Control,0,3,3,3,3,3,3,10,1,1,2,1,0,25,5,1,3,6,0,1,0
Trash-talking,1,5,2,5,3,3.75,3,7,3,3,4,1,1,47,2,2,5,6,1,0,0
Trash-talking,1,2,4,3,3,3,4,7,3,1,2,1,0,19,4,3,4,4,1,0,0
Trash-talking,1,4,4,4,4,4,4,10,4,2,3,2,1,44,4,3,4,4,1,0,0
Trash-talking,1,5,1,3,2,2.75,5,5,4,3,3,4,1,65,3,2,4,2,0,0,1
Trash-talking,1,2,1,1,1,1.25,3,10,5,1,1,1,0,23,3,2,1,4,0,0,1
Trash-talking,1,2,4,4,4,3.5,2,9,4,4,2,4,0,59,1,3,4,5,1,0,0
