treatment,treatment_binary,fire_judges,disobey_justice_2,overthrow_institutions,power_institutions,anti_democratic_index,strong_leader,check_corruption,angry,scared,optimistic,nervous,male,age,socioeconomic_level,political_interest,pres_approval,region,morena,nonpartisan,otherpartisan
Trash-talking,1,4,4,3,4,3.75,2,7,4,3,3,3,1,18,7,3,5,3,1,0,0
Trash-talking,1,4,4,4,4,4,3,10,2,4,2,2,1,23,5,3,4,2,0,1,0
Control,0,5,5,4,4,4.5,5,10,1,1,4,3,0,43,5,3,5,2,1,0,0
Trash-talking,1,3,4,4,5,4,4,9,3,2,2,1,0,43,2,3,5,6,1,0,0
Trash-talking,1,3,3,3,3,3,3,5,1,2,3,2,1,62,5,2,4,3,1,0,0
Trash-talking,1,1,2,5,2,2.5,5,5,2,2,3,2,1,39,5,2,1,2,0,0,1
Control,0,1,2,2,1,1.5,5,8,1,2,1,1,0,65,3,4,1,2,0,0,1
Control,0,3,2,3,3,2.75,5,10,3,1,3,4,1,41,1,3,5,4,1,0,0
Trash-talking,1,4,4,3,3,3.5,4,8,1,2,4,3,0,21,5,2,4,4,1,0,0
Trash-talking,1,3,2,5,4,3.5,4,10,3,3,3,3,1,32,5,1,3,3,1,0,0
Trash-talking,1,4,4,4,5,4.25,5,9,2,1,1,2,1,42,3,2,5,1,1,0,0
Control,0,5,3,4,5,4.25,4,6,3,2,3,3,1,46,5,1,4,6,1,0,0
Trash-talking,1,5,5,5,5,5,5,10,1,1,1,1,1,28,5,2,5,5,1,0,0
Trash-talking,1,4,3,3,4,3.5,4,9,2,3,1,2,0,22,6,2,3,5,0,0,1
Trash-talking,1,3,3,5,3,3.5,3,10,3,4,5,3,0,34,6,1,3,1,0,0,0
Control,0,3,3,4,3,3.25,4,9,2,1,3,2,0,47,3,3,3,1,0,0,1
Control,0,2,3,4,4,3.25,2,3,1,1,4,1,0,37,5,2,5,2,1,0,0
Trash-talking,1,2,4,4,2,3,2,9,2,2,2,3,0,48,1,3,4,6,1,0,0
Trash-talking,1,2,2,2,1,1.75,2,6,4,3,1,3,0,59,3,3,1,2,0,0,1
Control,0,2,2,5,5,3.5,4,10,5,5,1,5,0,52,1,4,4,4,0,0,1
Trash-talking,1,3,4,4,3,3.5,4,5,1,1,1,1,1,30,2,1,4,1,1,0,0
Control,0,1,3,4,3,2.75,4,8,2,1,1,1,1,39,2,3,3,4,1,0,0
Control,0,3,2,3,2,2.5,4,8,2,2,3,1,1,70,4,3,4,3,1,0,0
Trash-talking,1,5,1,5,5,4,4,9,3,4,1,4,1,39,1,2,4,4,1,0,0
Trash-talking,1,2,4,4,4,3.5,5,8,4,1,5,1,0,43,2,2,4,1,1,0,0
Trash-talking,1,2,4,2,2,2.5,2,10,2,3,4,3,1,68,2,3,5,2,1,0,0
Control,0,3,3,3,3,3,4,8,1,1,3,1,0,31,5,4,4,2,0,0,1
Trash-talking,1,3,4,2,4,3.25,3,10,3,2,2,1,0,22,4,1,4,2,0,1,0
Trash-talking,1,3,2,4,4,3.25,3,7,4,3,4,3,1,20,3,3,4,2,1,0,0
Control,0,2,3,3,4,3,3,6,2,2,3,1,1,18,3,3,2,3,0,0,1
Control,0,2,4,3,5,3.5,5,10,1,1,1,1,0,63,3,3,5,3,1,0,0
Control,0,2,3,2,2,2.25,4,8,3,2,2,2,0,23,3,2,2,4,1,0,0
Control,0,3,2,3,3,2.75,3,9,1,1,1,1,1,18,4,1,3,2,0,1,0
Trash-talking,1,1,3,5,2,2.75,4,10,5,4,1,1,1,38,2,1,2,3,0,1,0
Trash-talking,1,2,2,3,2,2.25,4,5,4,2,2,4,0,50,5,3,1,4,0,0,1
Trash-talking,1,2,5,2,2,2.75,4,10,4,3,2,2,0,43,6,3,2,3,0,1,0
Control,0,3,3,3,3,3,5,8,2,2,4,3,1,18,2,1,4,6,1,0,0
Control,0,1,5,5,1,3,3,8,3,1,1,1,1,55,5,2,2,5,0,1,0
Trash-talking,1,3,5,1,1,2.5,5,10,5,4,1,3,0,67,5,4,5,5,1,0,0
Trash-talking,1,5,4,3,3,3.75,3,10,3,1,3,1,0,32,5,3,4,4,1,0,0
Trash-talking,1,2,4,2,3,2.75,4,10,1,1,1,1,0,38,3,2,3,6,1,0,0
Control,0,3,3,2,2,2.5,4,8,3,2,2,2,1,18,3,2,4,4,0,0,1
Control,0,2,4,3,3,3,3,3,1,1,3,2,0,18,4,2,4,2,0,1,0
Control,0,2,2,3,4,2.75,5,6,1,1,3,2,0,26,4,1,5,1,1,0,0
Control,0,3,1,3,4,2.75,4,10,3,4,1,1,0,31,5,2,4,1,1,0,0
Trash-talking,1,2,3,3,2,2.5,3,7,3,1,2,3,1,21,4,3,3,4,1,0,0
Control,0,2,2,2,3,2.25,3,7,3,3,4,3,1,44,5,3,4,5,0,0,1
Control,0,2,2,4,2,2.5,1,10,1,1,2,1,1,39,1,2,4,2,0,1,0
Trash-talking,1,2,3,3,3,2.75,4,9,4,3,4,3,1,29,6,4,4,3,0,0,0
Trash-talking,1,2,2,4,2,2.5,4,10,3,2,2,1,0,45,1,3,2,2,0,0,0
Control,0,3,3,3,3,3,2,8,1,1,4,1,0,23,6,2,3,3,1,0,0
Trash-talking,1,3,2,4,3,3,4,6,2,1,3,1,1,57,2,3,5,2,1,0,0
Trash-talking,1,1,1,1,1,1,1,5,5,4,1,2,0,69,1,3,1,6,0,0,1
Control,0,3,4,4,3,3.5,3,10,2,1,4,1,0,22,3,1,3,3,0,1,0
Control,0,4,2,3,3,3,3,5,2,3,4,3,0,48,6,3,3,5,1,0,0
Trash-talking,1,3,4,4,4,3.75,2,10,5,3,1,4,0,19,4,2,3,2,0,0,1
Control,0,1,1,1,1,1,1,4,4,1,1,1,1,68,1,4,1,3,0,0,1
Control,0,3,3,3,3,3,3,5,3,3,3,3,1,31,3,2,3,4,0,1,0
Control,0,2,3,4,4,3.25,4,9,3,3,3,3,0,57,4,3,4,3,1,0,0
Control,0,3,3,3,3,3,3,5,1,1,1,1,0,56,4,1,3,5,0,1,0
Trash-talking,1,4,3,4,4,3.75,4,8,2,2,2,3,0,52,3,3,5,2,1,0,0
Trash-talking,1,5,3,5,5,4.5,5,9,3,3,3,3,1,63,3,3,5,2,1,0,0
Control,0,1,1,2,1,1.25,1,6,5,2,2,1,0,36,3,3,1,5,0,1,0
Control,0,4,3,3,1,2.75,4,9,3,1,3,1,0,19,4,3,4,3,1,0,0
Control,0,2,1,5,1,2.25,1,10,5,1,1,1,1,64,6,1,1,5,0,1,0
Control,0,5,3,3,5,4,3,10,3,3,3,3,1,34,5,2,5,5,1,0,0
Control,0,4,2,5,4,3.75,2,10,4,1,4,1,1,39,2,3,5,6,1,0,0
Trash-talking,1,3,5,5,3,4,3,10,3,4,2,4,1,23,4,3,3,3,0,0,0
Control,0,2,3,3,4,3,2,10,4,3,1,1,0,56,6,2,4,4,1,0,0
Control,0,2,3,3,2,2.5,3,10,4,1,1,2,0,23,4,1,4,1,1,0,0
Trash-talking,1,4,4,4,5,4.25,4,9,4,4,3,2,1,19,3,2,5,4,1,0,0
Trash-talking,1,3,2,4,3,3,4,10,4,3,2,3,1,23,4,2,2,4,0,0,0
Trash-talking,1,5,4,3,2,3.5,3,10,3,3,4,3,0,34,5,3,5,5,1,0,0
Control,0,1,1,3,1,1.5,1,10,5,5,1,5,0,46,3,2,1,3,0,0,0
Control,0,2,2,3,3,2.5,2,8,4,2,1,2,0,22,4,3,4,6,0,0,1
Trash-talking,1,3,1,5,4,3.25,4,10,3,1,4,3,0,37,3,2,5,1,1,0,0
Trash-talking,1,4,3,3,3,3.25,3,10,2,3,4,1,0,33,7,2,5,4,1,0,0
Trash-talking,1,2,1,4,4,2.75,1,10,5,4,1,2,0,31,6,1,4,1,0,1,0
Control,0,3,4,2,4,3.25,3,10,3,3,2,2,0,33,1,3,4,3,1,0,0
Trash-talking,1,2,2,5,3,3,3,10,3,1,2,1,0,21,3,2,3,3,0,0,1
Control,0,2,2,4,2,2.5,4,10,5,5,2,5,1,42,7,2,1,5,0,0,1
Control,0,2,3,2,2,2.25,4,10,1,1,2,1,0,45,3,1,3,3,0,1,0
Control,0,2,5,2,5,3.5,4,8,1,1,4,3,0,23,3,3,4,4,1,0,0
Trash-talking,1,2,2,2,2,2,3,4,3,3,2,1,0,22,5,2,2,1,0,1,0
Control,0,3,4,2,3,3,4,7,1,1,2,1,0,22,3,3,4,1,1,0,0
Control,0,3,1,5,4,3.25,5,10,2,2,1,2,0,54,1,3,5,6,1,0,0
Control,0,2,1,3,3,2.25,4,10,1,1,1,1,0,21,5,1,3,1,0,1,0
Control,0,2,1,2,2,1.75,2,10,1,2,1,1,0,27,6,2,3,3,0,1,0
Trash-talking,1,1,1,1,1,1,1,3,2,2,1,2,1,34,3,4,1,3,0,0,1
Trash-talking,1,4,4,4,4,4,2,1,4,1,1,1,0,29,5,2,2,6,0,0,0
Trash-talking,1,4,4,5,5,4.5,5,10,1,1,4,2,1,34,5,2,4,5,1,0,0
Trash-talking,1,5,5,5,5,5,5,10,5,1,5,1,1,40,1,4,5,6,1,0,0
Control,0,5,2,3,3,3.25,5,9,2,1,4,1,1,23,3,3,1,3,0,0,0
Trash-talking,1,3,4,4,2,3.25,2,9,2,1,4,3,0,63,6,2,1,5,0,1,0
Control,0,4,3,4,3,3.5,4,8,2,3,3,2,0,54,3,3,3,2,1,0,0
Control,0,2,2,2,3,2.25,5,8,2,1,2,1,0,18,3,3,4,1,0,1,0
Trash-talking,1,3,3,3,3,3,3,8,1,1,1,1,0,18,4,2,2,4,0,1,0
Control,0,1,1,2,1,1.25,2,5,2,1,1,1,0,30,6,3,2,5,0,1,0
Control,0,5,5,2,5,4.25,5,10,3,3,5,3,1,33,5,4,5,5,1,0,0
Control,0,1,1,1,1,1,3,9,1,1,3,1,0,52,1,3,2,4,0,0,1
Control,0,2,2,5,4,3.25,2,10,4,5,2,4,0,59,5,3,5,2,1,0,0
Control,0,3,3,4,4,3.5,4,8,2,3,3,2,0,25,1,2,5,6,1,0,0
Trash-talking,1,2,3,3,1,2.25,4,10,1,1,1,1,0,34,6,2,2,5,0,1,0
Trash-talking,1,2,2,2,3,2.25,4,7,4,4,2,3,0,22,2,3,2,3,0,1,0
Control,0,3,2,3,3,2.75,3,10,4,2,1,2,0,19,3,1,4,1,0,1,0
Trash-talking,1,3,5,5,3,4,5,10,1,3,4,1,1,23,6,3,5,4,1,0,0
Trash-talking,1,1,5,2,2,2.5,4,9,4,1,2,2,1,40,1,3,2,2,0,0,1
Trash-talking,1,4,4,5,5,4.5,2,10,5,1,1,1,1,40,3,2,5,4,1,0,0
Trash-talking,1,3,4,4,5,4,4,9,4,1,1,2,0,29,5,2,4,4,0,1,0
Control,0,3,3,3,3,3,3,6,1,1,3,1,1,20,3,3,4,2,0,1,0
Trash-talking,1,4,2,3,5,3.5,4,9,1,1,4,1,0,20,3,3,5,2,1,0,0
Trash-talking,1,3,5,4,3,3.75,5,10,3,1,1,2,0,19,4,3,5,5,1,0,0
Trash-talking,1,2,1,3,2,2,5,10,1,4,3,4,1,29,5,2,4,5,1,0,0
Trash-talking,1,2,3,3,4,3,4,8,2,3,2,3,1,18,3,2,3,3,0,1,0
Control,0,1,1,3,1,1.5,4,9,1,1,4,1,0,55,3,2,1,2,0,0,1
Control,0,4,3,4,4,3.75,3,5,1,2,3,2,0,28,2,2,5,2,1,0,0
Trash-talking,1,1,2,1,1,1.25,1,7,2,1,1,2,1,40,2,3,1,4,0,0,1
Trash-talking,1,3,2,4,3,3,2,8,2,3,2,3,1,44,5,2,2,5,0,1,0
Control,0,3,3,3,3,3,3,8,2,2,2,2,1,23,5,2,4,5,1,0,0
Trash-talking,1,3,3,3,3,3,3,8,3,3,3,3,0,42,1,2,3,1,0,1,0
Control,0,3,1,5,5,3.5,5,4,3,3,3,3,1,39,5,3,5,6,1,0,0
Control,0,1,1,4,1,1.75,1,9,1,1,3,1,0,64,4,3,1,3,0,0,0
Trash-talking,1,4,3,4,4,3.75,3,10,2,2,3,2,0,25,6,2,2,4,0,0,1
Trash-talking,1,4,3,3,4,3.5,4,9,4,1,4,1,1,39,3,3,5,4,1,0,0
Trash-talking,1,5,4,4,5,4.5,5,7,2,1,4,1,1,37,3,2,4,2,1,0,0
Trash-talking,1,1,1,3,1,1.5,1,9,1,1,4,1,0,47,3,2,1,3,0,1,0
Control,0,2,4,5,3,3.5,4,10,3,2,2,2,0,40,5,3,2,4,0,1,0
Control,0,4,3,4,3,3.5,3,10,3,3,3,3,0,40,2,3,5,4,1,0,0
Control,0,2,2,3,3,2.5,4,7,3,2,2,3,0,22,5,3,4,6,1,0,0
Trash-talking,1,1,2,3,1,1.75,1,9,3,1,1,1,1,22,2,2,1,3,0,1,0
Trash-talking,1,2,2,3,4,2.75,2,10,4,3,5,4,1,25,5,3,4,6,1,0,0
Control,0,1,2,4,1,2,4,10,4,4,3,3,0,54,3,3,1,5,0,0,1
Trash-talking,1,4,3,2,4,3.25,5,7,3,4,2,2,1,23,2,3,3,4,0,0,1
Trash-talking,1,3,3,2,3,2.75,3,8,2,3,3,3,0,44,1,3,1,3,0,0,1
Trash-talking,1,3,4,2,2,2.75,4,10,4,1,2,3,1,58,3,3,4,2,1,0,0
Control,0,1,5,4,5,3.75,4,8,3,3,3,3,1,45,1,3,4,3,0,0,0
Trash-talking,1,5,3,3,4,3.75,5,10,2,3,1,2,1,41,5,2,4,3,1,0,0
Control,0,1,1,1,1,1,2,5,1,1,1,1,1,52,3,1,1,4,0,0,1
Trash-talking,1,1,1,3,1,1.5,2,5,5,4,1,4,1,80,1,4,1,4,0,1,0
Control,0,1,3,3,2,2.25,4,5,2,3,4,2,1,68,1,3,1,1,0,0,1
Control,0,3,3,4,3,3.25,3,6,2,1,3,3,1,26,7,3,4,6,1,0,0
Trash-talking,1,5,4,5,5,4.75,5,10,4,1,5,1,1,18,2,1,5,4,1,0,0
Control,0,5,4,5,4,4.5,4,10,3,1,2,3,0,38,5,2,4,6,0,1,0
Trash-talking,1,5,2,3,5,3.75,5,8,4,2,2,1,1,36,1,3,4,1,1,0,0
Trash-talking,1,3,4,4,5,4,5,8,1,1,4,1,1,18,4,3,5,4,1,0,0
Control,0,3,4,5,5,4.25,4,10,4,2,3,3,0,24,3,3,2,6,0,0,1
Trash-talking,1,5,5,2,4,4,4,10,4,2,3,1,1,39,2,3,4,4,0,0,0
Control,0,5,1,5,5,4,5,10,1,1,4,1,1,49,6,2,5,1,1,0,0
Control,0,3,1,5,5,3.5,5,8,1,1,4,2,0,38,1,3,5,6,1,0,0
Trash-talking,1,1,1,3,2,1.75,4,8,4,2,1,2,0,23,1,2,1,5,0,1,0
Control,0,4,2,4,4,3.5,4,9,2,4,3,3,1,23,1,4,5,6,1,0,0
Trash-talking,1,5,2,4,5,4,3,8,4,2,3,2,1,54,1,3,4,5,0,1,0
Trash-talking,1,3,2,4,3,3,3,10,4,4,2,3,0,26,1,3,3,1,0,1,0
Control,0,4,2,4,5,3.75,4,9,3,2,4,3,1,52,2,3,5,3,1,0,0
Trash-talking,1,5,5,5,5,5,2,10,3,4,3,2,1,55,5,4,5,5,1,0,0
Trash-talking,1,2,3,3,4,3,2,4,2,1,4,2,1,25,5,2,4,6,1,0,0
Trash-talking,1,5,4,5,5,4.75,3,10,3,1,3,1,1,24,3,3,5,2,1,0,0
Control,0,1,2,1,3,1.75,1,9,1,2,2,3,0,59,4,2,1,2,0,1,0
Trash-talking,1,4,5,4,3,4,5,10,5,5,3,5,1,30,1,2,4,4,1,0,0
Control,0,1,2,1,1,1.25,2,6,1,1,3,1,1,41,2,3,1,4,0,0,1
Control,0,5,1,5,4,3.75,4,9,2,3,4,2,1,23,1,3,4,4,1,0,0
Trash-talking,1,1,1,5,1,2,5,10,5,5,1,5,1,47,3,4,1,6,0,1,0
Trash-talking,1,4,4,2,2,3,5,8,2,4,1,4,0,22,2,3,2,6,0,0,0
Control,0,1,1,1,1,1,1,6,1,1,1,1,1,36,1,1,1,3,0,1,0
Control,0,3,3,3,3,3,3,10,3,2,2,3,1,19,5,1,5,4,0,0,0
Trash-talking,1,1,1,2,1,1.25,5,5,3,3,3,3,1,72,4,4,1,6,0,0,1
Trash-talking,1,3,4,3,2,3,4,8,4,3,4,3,0,20,5,1,4,2,0,1,0
Trash-talking,1,5,1,3,5,3.5,5,10,5,1,1,1,1,23,4,4,5,1,1,0,0
Control,0,1,1,1,1,1,1,2,4,1,1,1,1,74,3,2,1,3,0,0,0
Control,0,1,3,3,1,2,2,5,1,1,3,1,0,63,4,2,1,6,0,0,1
Control,0,4,5,2,4,3.75,4,4,1,1,3,4,0,59,5,3,4,3,1,0,0
Control,0,1,1,2,1,1.25,2,10,5,5,1,4,1,57,3,3,1,3,0,0,1
Trash-talking,1,4,3,4,3,3.5,4,8,2,1,2,1,0,22,5,2,3,6,0,1,0
Trash-talking,1,3,4,3,4,3.5,3,7,4,3,2,3,1,35,3,3,4,4,1,0,0
Control,0,4,4,4,4,4,4,6,1,1,4,2,1,35,5,3,5,4,1,0,0
Control,0,2,2,2,3,2.25,4,1,1,1,5,1,0,30,3,3,5,3,1,0,0
Trash-talking,1,4,3,4,4,3.75,4,5,3,3,3,3,0,61,4,2,4,6,1,0,0
Control,0,3,3,3,3,3,3,10,1,3,3,1,0,63,5,3,1,3,0,0,1
Trash-talking,1,2,5,3,5,3.75,1,10,2,4,4,3,0,46,4,3,4,3,1,0,0
Control,0,3,1,5,4,3.25,5,10,5,4,1,4,1,70,3,1,3,3,0,0,0
Trash-talking,1,1,1,1,1,1,1,2,4,2,3,2,1,47,2,3,1,5,0,0,1
Trash-talking,1,3,1,4,5,3.25,5,10,1,2,1,1,0,51,2,2,3,2,1,0,0
Trash-talking,1,4,3,4,4,3.75,4,9,2,1,1,1,1,45,3,3,5,3,0,1,0
Trash-talking,1,1,1,2,1,1.25,2,10,4,2,1,1,1,70,2,3,1,4,0,0,1
Control,0,4,4,4,3,3.75,2,7,4,1,3,1,0,28,5,4,5,6,1,0,0
Control,0,3,3,3,3,3,3,5,3,3,3,3,1,18,5,3,5,4,1,0,0
Trash-talking,1,1,1,1,1,1,1,8,3,1,1,1,1,52,2,3,1,6,0,0,1
Trash-talking,1,3,4,3,2,3,4,10,4,4,3,1,0,61,4,1,2,3,0,0,0
Control,0,3,3,3,3,3,3,5,3,3,3,3,0,33,6,3,3,4,0,1,0
Control,0,2,4,5,5,4,5,10,1,2,2,1,1,20,5,2,4,6,1,0,0
Control,0,1,5,1,1,2,4,6,4,3,3,4,0,56,3,3,2,3,0,0,1
Trash-talking,1,5,1,5,4,3.75,4,10,5,3,4,2,1,24,4,4,2,4,1,0,0
Control,0,5,4,5,5,4.75,2,6,1,1,4,1,0,24,6,2,5,2,1,0,0
Control,0,1,2,2,1,1.5,2,5,2,3,1,4,1,63,2,3,1,6,0,0,1
Trash-talking,1,1,2,3,2,2,4,7,4,1,2,3,0,27,3,4,3,1,0,0,1
Trash-talking,1,3,2,4,4,3.25,3,8,1,2,3,1,0,32,5,2,4,2,0,0,1
Trash-talking,1,1,2,2,2,1.75,2,7,1,2,2,1,1,49,3,2,4,2,0,1,0
Control,0,5,4,3,4,4,5,10,3,1,1,1,1,42,5,3,5,5,1,0,0
Control,0,1,3,2,1,1.75,3,8,5,3,3,2,0,24,1,2,1,2,0,0,1
Trash-talking,1,1,1,2,1,1.25,1,5,4,4,1,4,1,72,3,3,2,2,0,0,1
Control,0,3,3,4,3,3.25,3,10,3,3,5,3,1,30,3,3,5,4,1,0,0
Control,0,1,1,2,1,1.25,1,8,5,4,1,5,1,46,5,2,1,5,0,1,0
Trash-talking,1,4,4,3,5,4,4,5,3,1,2,1,0,30,5,2,4,2,1,0,0
Trash-talking,1,3,2,3,3,2.75,4,8,2,1,1,1,1,28,1,2,4,4,1,0,0
Control,0,3,3,1,3,2.5,3,7,2,5,4,4,0,22,4,1,4,1,0,1,0
Trash-talking,1,3,2,5,5,3.75,5,6,5,4,3,5,0,24,2,3,1,5,0,1,0
Trash-talking,1,3,2,4,4,3.25,5,10,2,1,3,1,1,67,2,4,5,3,1,0,0
Control,0,3,1,4,3,2.75,4,6,1,1,3,1,0,19,6,2,5,1,1,0,0
Control,0,2,4,2,3,2.75,3,10,3,1,3,1,0,32,6,3,5,2,1,0,0
Control,0,3,2,3,3,2.75,3,10,5,3,4,3,1,23,2,4,3,2,1,0,0
Control,0,2,4,5,2,3.25,3,10,4,3,5,3,1,23,1,4,4,4,1,0,0
Control,0,1,2,5,1,2.25,3,10,2,1,1,1,0,20,1,2,1,2,0,1,0
Control,0,2,4,2,5,3.25,5,10,2,1,5,1,0,31,5,3,5,4,1,0,0
Control,0,5,4,3,4,4,4,6,2,3,3,3,1,21,4,3,3,4,1,0,0
Trash-talking,1,5,4,5,5,4.75,4,10,5,4,1,3,0,40,5,3,2,6,1,0,0
Trash-talking,1,4,3,3,2,3,4,8,3,4,2,1,0,20,5,3,5,4,0,0,1
Control,0,2,2,4,4,3,3,7,3,1,3,1,0,23,3,2,3,2,0,1,0
Control,0,1,1,4,1,1.75,5,10,3,3,3,2,1,36,3,3,1,3,0,0,1
Trash-talking,1,4,4,3,4,3.75,3,7,4,2,4,2,0,24,5,2,4,5,1,0,0
Trash-talking,1,2,5,2,4,3.25,5,10,4,1,3,1,1,27,3,3,5,4,1,0,0
Trash-talking,1,3,2,4,3,3,3,5,4,4,1,2,1,24,3,3,5,2,0,1,0
Trash-talking,1,4,2,3,2,2.75,4,7,3,1,3,1,1,57,4,2,4,2,0,1,0
Trash-talking,1,4,4,4,4,4,4,1,2,3,2,3,0,46,6,2,4,4,1,0,0
Trash-talking,1,4,2,4,4,3.5,4,9,3,2,3,3,1,44,3,4,5,1,1,0,0
Control,0,3,3,4,3,3.25,3,10,4,5,1,3,1,50,2,3,4,4,0,1,0
Control,0,4,2,2,5,3.25,4,8,2,3,3,3,1,50,5,2,5,2,1,0,0
Trash-talking,1,3,3,3,3,3,3,6,3,3,3,3,1,39,3,3,2,3,0,1,0
Trash-talking,1,3,3,3,3,3,5,5,3,3,3,3,0,20,3,1,3,3,1,0,0
Control,0,4,3,3,3,3.25,3,5,5,1,3,1,1,51,4,2,3,3,0,1,0
Control,0,3,3,3,3,3,3,5,2,1,1,1,0,43,5,2,3,2,0,1,0
Control,0,4,3,4,3,3.5,4,7,4,1,3,2,1,18,6,2,4,3,1,0,0
Control,0,2,4,3,2,2.75,2,10,4,2,1,3,0,46,6,3,1,5,0,0,1
Trash-talking,1,4,2,4,4,3.5,4,6,2,3,4,3,0,23,3,3,5,6,1,0,0
Trash-talking,1,3,2,3,5,3.25,5,8,4,1,4,2,0,26,6,3,4,4,1,0,0
Trash-talking,1,1,3,4,1,2.25,3,8,1,1,3,1,1,24,2,2,2,4,0,0,1
Control,0,3,4,4,2,3.25,3,10,4,3,1,1,0,21,2,1,2,3,0,1,0
Trash-talking,1,3,4,5,5,4.25,5,10,5,5,2,4,1,40,2,3,5,4,0,0,1
Control,0,3,4,2,3,3,3,7,1,1,3,2,1,38,6,3,4,5,1,0,0
Control,0,1,2,2,1,1.5,4,4,2,2,2,1,0,23,3,2,4,3,1,0,0
Trash-talking,1,4,2,4,3,3.25,4,8,2,2,1,2,0,52,5,2,4,5,0,1,0
Trash-talking,1,3,3,4,5,3.75,3,9,5,3,2,4,0,30,5,3,4,6,1,0,0
Control,0,1,4,4,4,3.25,4,4,4,1,4,1,1,33,7,2,5,5,1,0,0
Control,0,4,5,5,4,4.5,1,10,4,4,1,2,1,42,3,2,5,3,0,1,0
Trash-talking,1,3,4,4,3,3.5,5,9,4,3,1,3,0,28,2,2,4,2,0,0,0
Control,0,4,1,4,4,3.25,5,3,4,2,3,3,0,33,6,1,3,5,0,0,1
Trash-talking,1,4,4,4,3,3.75,3,6,2,4,3,3,1,34,2,3,3,4,1,0,0
Control,0,1,2,1,1,1.25,1,6,1,1,3,1,0,57,1,3,1,6,0,0,1
Control,0,3,3,5,4,3.75,3,10,1,1,2,1,1,23,2,3,1,5,0,1,0
Trash-talking,1,4,4,2,3,3.25,4,7,3,2,1,1,1,20,2,2,4,3,0,0,1
Control,0,4,3,4,4,3.75,4,8,1,1,4,1,0,34,2,2,4,3,0,1,0
Control,0,3,3,3,2,2.75,4,8,2,1,4,2,0,22,3,3,4,3,1,0,0
Trash-talking,1,3,5,2,5,3.75,4,8,4,4,3,2,1,28,6,3,4,1,1,0,0
Trash-talking,1,1,1,4,1,1.75,5,7,5,5,1,5,1,32,1,3,1,4,0,0,1
Control,0,1,1,2,1,1.25,3,8,5,4,1,2,0,34,6,3,1,3,0,0,1
Trash-talking,1,3,2,2,3,2.5,3,7,2,1,4,3,0,24,5,3,2,6,0,0,1
Trash-talking,1,2,2,4,2,2.5,4,10,1,3,2,2,1,32,5,3,4,6,1,0,0
Trash-talking,1,4,4,4,2,3.5,4,10,2,1,1,1,0,31,2,2,5,2,0,1,0
Control,0,2,1,2,4,2.25,3,10,3,3,2,3,1,38,1,4,5,2,1,0,0
Control,0,2,4,3,2,2.75,4,5,1,2,3,3,0,27,1,3,3,3,0,1,0
Trash-talking,1,2,2,3,2,2.25,3,8,4,4,2,3,1,72,4,2,2,3,0,1,0
Trash-talking,1,2,4,2,2,2.5,2,9,3,3,3,3,0,58,4,3,2,6,0,1,0
Control,0,2,2,4,3,2.75,2,8,3,1,3,1,0,63,4,2,3,2,0,1,0
Control,0,2,3,2,3,2.5,4,8,3,2,3,2,1,33,3,4,4,4,1,0,0
Control,0,3,3,3,2,2.75,4,9,3,1,3,1,0,20,2,3,2,3,0,0,1
Control,0,2,2,3,4,2.75,4,9,2,2,1,2,1,23,2,3,4,1,0,0,0
Trash-talking,1,3,3,5,3,3.5,2,9,2,1,1,1,0,35,1,1,1,6,0,1,0
Trash-talking,1,3,3,3,3,3,3,5,3,3,3,3,0,47,3,2,3,3,1,0,0
Trash-talking,1,1,2,5,2,2.5,4,5,1,2,2,4,0,23,4,2,1,4,0,0,0
Control,0,3,3,3,3,3,3,10,2,1,3,4,0,45,5,1,4,3,1,0,0
Control,0,2,3,3,4,3,3,9,1,3,3,1,0,33,6,3,5,4,1,0,0
Trash-talking,1,3,3,3,3,3,3,6,3,2,3,2,0,42,3,2,3,1,0,1,0
Trash-talking,1,4,4,4,4,4,1,10,2,3,4,3,0,22,2,2,1,4,0,0,1
Trash-talking,1,3,3,4,4,3.5,5,5,3,3,2,3,1,34,4,2,2,3,0,1,0
Trash-talking,1,2,2,4,2,2.5,3,10,2,4,1,2,0,42,5,2,3,4,0,1,0
Trash-talking,1,4,2,4,5,3.75,2,10,4,4,1,2,1,66,5,3,4,5,1,0,0
Trash-talking,1,3,2,3,3,2.75,3,8,3,2,2,3,1,20,2,2,3,2,1,0,0
Control,0,3,3,3,4,3.25,2,5,1,1,4,1,0,54,2,2,5,5,1,0,0
Control,0,2,3,4,5,3.5,5,5,3,1,4,1,0,22,5,2,4,1,1,0,0
Trash-talking,1,1,2,2,2,1.75,4,8,4,2,3,2,1,38,1,3,3,2,0,0,0
Control,0,3,4,4,4,3.75,4,10,4,2,1,2,0,47,2,3,5,2,1,0,0
Control,0,1,1,1,1,1,2,7,1,3,2,2,1,56,3,3,1,2,0,0,1
Trash-talking,1,4,1,5,5,3.75,1,10,4,4,1,4,0,31,5,3,4,2,0,1,0
Control,0,2,2,3,2,2.25,3,9,3,2,4,3,1,31,2,3,4,2,0,0,0
Trash-talking,1,4,5,3,5,4.25,3,8,2,1,4,1,1,24,3,3,5,6,1,0,0
Trash-talking,1,3,4,4,5,4,5,9,2,2,2,2,1,58,3,4,4,1,1,0,0
Trash-talking,1,1,1,1,1,1,1,2,4,1,1,5,1,47,1,4,1,2,0,0,1
