stateabb,ccode,year,region,trust_military,trust_military_l1,trust_military_mod,trust_police,trust_police_z,trust_judiciary,trust_judiciary_z,gov_corrupt,gov_corrupt_z,gov_conf,lead_approve,trust_financial_inst,living_std_improve,military_dim,military_dim_z_mavg2,military_dim_mavg2,military_rule,military_leader,conscript,conscript_time,spend_soldier_ln,spend_soldier_z_ln,spend_soldier_z_ln_mavg2,personnel_pc_ln,appointment_fa,crisis_current,crisis_lag1,crisis_lag2,crisis_time,crisis_time_z,crisis_victory,crisis_tie,crisis_window2,crisis_window5,civwar,democracy_lib,polity,jud_corrupt,jud_high_ind,jud_low_ind,ideology_election,gdp_pc_ln,gdp_growth,population_ln,life_expectancy,hrights
BFO,439,2019,4,0.87,0.800000011920929,0.781834185123444,0.81,1.14768314361572,0.62,0.805191278457642,0.58,-0.433931559324265,0.7,0.67,0.69,0.64,0.25,0.532080888748169,0.259333342313767,0,1,0,34,,,,,-0.342,0,0,0,,,0,0,0,0,,0.524999976158142,,-1.287,0.387,0.555,,0.826366007328033,0.090999998152256,7.65512609481812,61.7,-1.89999997615814
BFO,439,2020,4,0.91,0.870000004768372,0.796583592891693,0.82,1.21128976345062,0.64,0.917565524578094,0.71,0.245827704668045,0.7,0.65,0.64,0.71,0.25,0.489188551902771,0.25,0,1,0,35,,,,,0.113,0,0,0,,,0,0,0,0,,0.507000029087067,,-1.287,0.387,0.555,,,,,61.8,
BFO,439,2021,4,0.82,0.910000026226044,0.76188462972641,0.76,0.829649090766907,0.59,0.636629581451416,0.63,-0.172485619783402,0.62,0.58,0.65,0.66,0.228,0.455487430095673,0.242666661739349,0,,0,36,,,,,0.113,0,0,0,,,0,0,0,0,,0.504000008106232,,-1.287,0.387,0.555,,,,,62.5,
LBR,450,2007,4,0.54,,0.611320436000824,0.57,-0.378879934549332,0.49,0.0747580975294113,0.68,0.0889603272080421,0.73,0.76,0.52,0.52,0.25,0.565782010555267,0.266666680574417,0,0,0,57,,,,-4.7977557182312,-0.46,0,0,0,,,0,0,0,0,0,,6,-1.872,0.806,1.089,,-0.118783533573151,0.0469999983906746,5.8963680267334,60.6,0.300000011920929
LBR,450,2008,4,0.52,0.540000021457672,0.59747576713562,0.46,-1.07855451107025,0.29,-1.04898536205292,0.83,0.873297870159149,0.51,0.62,0.49,0.32,0.25,0.489188551902771,0.25,0,0,0,58,,,,-4.83519649505615,-0.264,0,0,0,,,0,0,0,0,0,0.50900000333786,6,-1.872,0.806,1.089,,-0.0801260471343994,0.0350000001490116,5.93380880355835,61.1,0.400000005960465
LBR,450,2010,4,0.65,,0.679380416870117,0.55,-0.506093382835388,0.35,-0.71186238527298,0.83,0.873297870159149,0.54,0.66,0.67,0.45,0.25,0.489188551902771,0.25,0,0,0,60,7.8887095451355,-1.48098874092102,0.244924262166023,-4.90176725387573,-0.264,0,0,0,,,0,0,0,0,0,,6,-1.872,0.187,0.509,,-0.0253178086131811,0.0270000007003546,6.00037956237793,61.9,0.600000023841858
LBR,450,2011,4,0.49,0.649999976158142,0.575778663158417,0.47,-1.01494777202606,0.33,-0.824236571788788,0.85,0.977876424789429,0.53,0.57,0.65,0.47,0.25,0.489188551902771,0.25,0,0,0,61,8.37416934967041,-1.16427743434906,0.300533890724182,-4.93918943405151,-0.264,0,0,0,,,0,0,0,0,0,0.493999987840653,6,-1.872,0.187,0.509,,-0.00200200267136097,0.0230000000447035,6.03780174255371,62.4,0.800000011920929
LBR,450,2013,4,0.54,,0.611320436000824,0.45,-1.14216148853302,0.31,-0.936610996723175,0.73,0.350406259298325,0.45,0.37,0.51,0.42,0.25,0.489188551902771,0.25,0,0,0,63,,,0.411753177642822,-5.00326585769653,-0.264,0,0,0,,,0,0,0,0,0,,6,-1.872,0.187,0.509,,0.0751074701547623,0.0439999997615814,6.10187816619873,63.4,0.899999976158142
LBR,450,2014,4,0.44,0.540000021457672,0.536986947059631,0.38,-1.58740890026093,0.27,-1.16135966777802,0.78,0.611851930618286,0.35,0.31,0.38,0.31,0.25,0.489188551902771,0.25,0,0,0,64,,,,-5.03894186019898,-0.264,0,0,0,,,0,0,0,0,0,0.460999995470047,6,-1.872,0.187,0.509,,0.0953101813793182,0.0219999998807907,6.13755416870117,59.9,0.899999976158142
LBR,450,2015,4,0.53,0.439999997615814,0.604458689689636,0.48,-0.951341092586517,0.47,-0.0376163013279438,0.77,0.559562802314758,0.47,0.32,0.51,0.39,0.25,0.489188551902771,0.25,0,0,0,65,8.6424150466919,-0.989275395870209,0.503936171531677,-5.07055282592773,-0.264,0,0,0,,,0,0,0,0,0,0.455000013113022,6,-1.872,0.187,0.509,,0.120446152985096,0.0280000008642674,6.16916513442993,62.5,0.800000011920929
LBR,450,2016,4,0.59,0.529999971389771,0.643884420394898,0.49,-0.887734174728394,0.46,-0.0938034206628799,0.8,0.716430485248566,0.54,0.35,0.59,0.43,0.25,0.489188551902771,0.25,0,0,0,66,8.37416934967041,-1.16427743434906,0.45784467458725,-5.09624004364014,-0.264,0,0,0,,,0,0,0,0,0,0.458000004291534,6,-1.872,0.187,0.509,,0.120446152985096,0,6.19485235214233,64.5,1
LBR,450,2017,4,0.66,0.589999973773956,0.684942483901978,0.5,-0.824127435684204,0.53,0.299506574869156,0.82,0.821008741855621,0.55,0.4,0.62,0.48,0.25,0.489188551902771,0.25,0,0,0,67,,,0.45784467458725,,-0.264,0,0,0,,,0,0,0,0,0,0.458000004291534,6,-1.872,1.39,1.34,,0.157003745436668,0.0419999994337559,6.21888303756714,65.1,1.10000002384186
LBR,450,2018,4,0.67,0.660000026226044,0.690407991409302,0.51,-0.760520696640015,0.53,0.299506574869156,0.79,0.664141356945038,0.7,0.5,0.6,0.45,0.214,0.434041321277618,0.238000005483627,0,0,0,68,,,0.411753177642822,,-0.264,0,0,0,,,0,0,0,0,0,0.476999998092651,7,-1.788,1.876,1.053,,0.179818421602249,0.0270000007003546,6.23848295211792,65.7,1
